divisions,rebalancePeriod,safe_buy,safe_sell,aggr_buy,aggr_sell,bull_buy,bull_sell,bull_hold,ret2023,ret2024,ret1yr,avg,min,mdd2023,mdd2024,mdd1yr,sl2023,sl2024,sl1yr
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.1,45,-24.70,2.32,11.40,-3.66,-24.70,61.40,58.43,58.34,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.1,60,-24.70,2.32,11.40,-3.66,-24.70,61.40,58.43,58.34,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.1,90,-24.70,2.32,11.40,-3.66,-24.70,61.40,58.43,58.34,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.1,120,-24.70,2.32,11.40,-3.66,-24.70,61.40,58.43,58.34,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.15,30,-25.47,-0.38,8.76,-5.70,-25.47,61.73,58.31,58.28,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.15,45,-25.47,1.31,8.76,-5.14,-25.47,61.73,58.61,58.28,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.15,60,-25.47,1.31,8.76,-5.14,-25.47,61.73,58.61,58.28,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.15,90,-25.47,1.31,8.76,-5.14,-25.47,61.73,58.61,58.28,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.15,120,-25.47,1.31,8.76,-5.14,-25.47,61.73,58.61,58.28,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.2,30,-27.40,-2.80,7.75,-7.48,-27.40,62.78,58.30,58.31,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.2,45,-27.40,-1.10,7.75,-6.92,-27.40,62.78,58.57,58.31,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.2,60,-27.40,-1.10,7.75,-6.92,-27.40,62.78,58.57,58.31,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.2,90,-27.40,-1.10,7.75,-6.92,-27.40,62.78,58.57,58.31,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.2,120,-27.40,-1.10,7.75,-6.92,-27.40,62.78,58.57,58.31,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.25,30,-27.40,-2.80,10.09,-6.70,-27.40,62.78,58.30,58.15,11,7,6
